2.31671547,10
2.31182789
2.29227757
2.31182789
2.31182789
2.31182789
2.31182789
2.30694031
2.31671547
2.31182789
1.22189640,20
1.22189640
1.20234608
1.22189640
1.20723366
1.22189640
1.22189640
1.21700882
1.22189640
1.21700882
0.79178886,30
0.79178886
0.79667644
0.83088951
0.79178886
0.79667644
0.79178886
0.79667644
0.77223849
0.83088951
0.62072334,40
0.59628543
0.58162264
0.57673506
0.57673506
0.56695990
0.57184748
0.59628543
0.59628543
0.59628543
0.46920819,50
0.46920819
0.48387093
0.47898335
0.47898335
0.48387093
0.50342130
0.48387093
0.47898335
0.47898335
0.42033233,60
0.42521996
0.42521996
0.42521996
0.42033233
0.42521996
0.42033233
0.42521996
0.39589443
0.40566959
0.32258062,70
0.34213099
0.31280546
0.32258062
0.31769304
0.31769304
0.31280546
0.35190615
0.32258062
0.31769304
