1.76441836,2
3.00097751,4
3.09384155,6
2.73704791,8
2.31182789,10
2.00391006,12
1.71065497,14
1.50048875,16
1.33919847,18
1.22189640,20
1.10948193,22
1.01173019,24
0.95307912,26
0.85043992,28
0.79667644,30
0.73802542,32
0.69892473,34
0.65004882,36
0.62072334,38
0.58162264,40
0.54252200,42
0.52297163,44
0.50342130,46
0.45943303,48
0.46432061,50
0.42033233,52
0.40566959,54
0.38123167,56
0.38611925,58
0.36656892,60
0.35190615,62
0.33724341,64
0.32258062,66
0.31769304,68
0.31280546,70
0.30303030,72
